item,dr,startDate,endDate
707,0.0,2011-05-01,2014-11-30
707,0.02,2011-05-31,2014-05-30
707,0.05,2011-05-31,2014-05-30
707,0.1,2012-05-30,2012-06-29
707,0.15,2013-05-30,2013-06-29
708,0.0,2011-05-01,2014-11-30
708,0.02,2011-05-31,2014-05-30
708,0.05,2011-05-31,2014-05-30
708,0.1,2012-05-30,2012-06-29
708,0.15,2013-05-30,2013-06-29
709,0.0,2011-05-01,2014-11-30
709,0.02,2011-05-31,2014-05-30
709,0.05,2011-05-31,2014-05-30
709,0.1,2011-05-31,2014-05-30
710,0.0,2011-05-01,2014-11-30
711,0.0,2011-05-01,2014-11-30
711,0.02,2011-05-31,2014-05-30
711,0.05,2011-05-31,2014-05-30
711,0.1,2012-05-30,2012-06-29
711,0.15,2013-05-30,2013-06-29
712,0.0,2011-05-01,2014-11-30
712,0.02,2011-05-31,2014-05-30
712,0.05,2011-05-31,2014-05-30
712,0.1,2011-05-31,2014-05-30
713,0.0,2011-05-01,2014-11-30
714,0.0,2011-05-01,2014-11-30
714,0.02,2011-05-31,2014-05-30
714,0.05,2011-05-31,2014-05-30
715,0.0,2011-05-01,2014-11-30
715,0.02,2011-05-31,2014-05-30
715,0.05,2011-05-31,2014-05-30
715,0.1,2011-05-31,2014-05-30
716,0.0,2011-05-01,2014-11-30
716,0.02,2011-05-31,2014-05-30
717,0.0,2011-05-01,2014-11-30
718,0.0,2011-05-01,2014-11-30
719,0.0,2011-05-01,2014-11-30
722,0.0,2011-05-01,2014-11-30
723,0.0,2011-05-01,2014-11-30
725,0.0,2011-05-01,2014-11-30
725,0.02,2011-05-31,2014-05-30
726,0.0,2011-05-01,2014-11-30
727,0.0,2011-05-01,2014-11-30
729,0.0,2011-05-01,2014-11-30
730,0.0,2011-05-01,2014-11-30
730,0.02,2011-05-31,2014-05-30
732,0.0,2011-05-01,2014-11-30
733,0.0,2011-05-01,2014-11-30
736,0.0,2011-05-01,2014-11-30
738,0.0,2011-05-01,2014-11-30
738,0.02,2011-05-31,2014-05-30
739,0.0,2011-05-01,2014-11-30
741,0.0,2011-05-01,2014-11-30
742,0.0,2011-05-01,2014-11-30
743,0.0,2011-05-01,2014-11-30
744,0.0,2011-05-01,2014-11-30
745,0.0,2011-05-01,2014-11-30
747,0.0,2011-05-01,2014-11-30
748,0.0,2011-05-01,2014-11-30
748,0.02,2011-05-31,2014-05-30
749,0.0,2011-05-01,2014-11-30
750,0.0,2011-05-01,2014-11-30
751,0.0,2011-05-01,2014-11-30
752,0.0,2011-05-01,2014-11-30
753,0.0,2011-05-01,2014-11-30
754,0.0,2011-05-01,2014-11-30
754,0.02,2011-05-31,2014-05-30
755,0.0,2011-05-01,2014-11-30
756,0.0,2011-05-01,2014-11-30
757,0.0,2011-05-01,2014-11-30
758,0.0,2011-05-01,2014-11-30
759,0.0,2011-05-01,2014-11-30
760,0.0,2011-05-01,2014-11-30
760,0.02,2011-05-31,2014-05-30
760,0.05,2011-05-31,2014-05-30
761,0.0,2011-05-01,2014-11-30
761,0.02,2011-05-31,2014-05-30
761,0.05,2011-05-31,2014-05-30
762,0.0,2011-05-01,2014-11-30
762,0.02,2011-05-31,2014-05-30
762,0.05,2011-05-31,2014-05-30
762,0.3,2012-05-30,2012-07-30
763,0.0,2011-05-01,2014-11-30
763,0.02,2011-05-31,2014-05-30
763,0.05,2011-05-31,2014-05-30
764,0.0,2011-05-01,2014-11-30
765,0.0,2011-05-01,2014-11-30
765,0.02,2011-05-31,2014-05-30
765,0.05,2011-05-31,2014-05-30
766,0.0,2011-05-01,2014-11-30
766,0.02,2011-05-31,2014-05-30
767,0.0,2011-05-01,2014-11-30
768,0.0,2011-05-01,2014-11-30
768,0.02,2011-05-31,2014-05-30
769,0.0,2011-05-01,2014-11-30
770,0.0,2011-05-01,2014-11-30
770,0.02,2011-05-31,2014-05-30
770,0.05,2011-05-31,2014-05-30
771,0.0,2011-05-01,2014-11-30
771,0.35,2012-04-13,2012-05-29
772,0.0,2011-05-01,2014-11-30
772,0.02,2011-05-31,2014-05-30
772,0.35,2012-04-13,2012-05-29
773,0.0,2011-05-01,2014-11-30
773,0.02,2011-05-31,2014-05-30
773,0.35,2012-04-13,2012-05-29
774,0.0,2011-05-01,2014-11-30
774,0.35,2012-04-13,2012-05-29
775,0.0,2011-05-01,2014-11-30
775,0.02,2011-05-31,2014-05-30
775,0.35,2012-04-13,2012-05-29
776,0.0,2011-05-01,2014-11-30
776,0.02,2011-05-31,2014-05-30
776,0.35,2012-04-13,2012-05-29
777,0.0,2011-05-01,2014-11-30
777,0.02,2011-05-31,2014-05-30
777,0.35,2012-04-13,2012-05-29
778,0.0,2011-05-01,2014-11-30
778,0.35,2012-04-13,2012-05-29
779,0.0,2011-05-01,2014-11-30
779,0.02,2011-05-31,2014-05-30
780,0.0,2011-05-01,2014-11-30
780,0.02,2011-05-31,2014-05-30
780,0.05,2011-05-31,2014-05-30
781,0.0,2011-05-01,2014-11-30
781,0.02,2011-05-31,2014-05-30
782,0.0,2011-05-01,2014-11-30
782,0.02,2011-05-31,2014-05-30
782,0.05,2011-05-31,2014-05-30
783,0.0,2011-05-01,2014-11-30
783,0.02,2011-05-31,2014-05-30
783,0.05,2011-05-31,2014-05-30
784,0.0,2011-05-01,2014-11-30
784,0.02,2011-05-31,2014-05-30
785,0.0,2011-05-01,2014-11-30
785,0.02,2011-05-31,2014-05-30
786,0.0,2011-05-01,2014-11-30
786,0.02,2011-05-31,2014-05-30
787,0.0,2011-05-01,2014-11-30
788,0.0,2011-05-01,2014-11-30
788,0.02,2011-05-31,2014-05-30
789,0.0,2011-05-01,2014-11-30
789,0.02,2011-05-31,2014-05-30
789,0.05,2011-05-31,2014-05-30
790,0.0,2011-05-01,2014-11-30
790,0.02,2011-05-31,2014-05-30
791,0.0,2011-05-01,2014-11-30
792,0.0,2011-05-01,2014-11-30
793,0.0,2011-05-01,2014-11-30
793,0.02,2011-05-31,2014-05-30
794,0.0,2011-05-01,2014-11-30
794,0.02,2011-05-31,2014-05-30
795,0.0,2011-05-01,2014-11-30
796,0.0,2011-05-01,2014-11-30
797,0.0,2011-05-01,2014-11-30
797,0.02,2011-05-31,2014-05-30
798,0.0,2011-05-01,2014-11-30
798,0.02,2011-05-31,2014-05-30
799,0.0,2011-05-01,2014-11-30
800,0.0,2011-05-01,2014-11-30
801,0.0,2011-05-01,2014-11-30
801,0.02,2011-05-31,2014-05-30
801,0.05,2011-05-31,2014-05-30
802,0.0,2011-05-01,2014-11-30
804,0.0,2011-05-01,2014-11-30
804,0.02,2011-05-31,2014-05-30
805,0.0,2011-05-01,2014-11-30
806,0.0,2011-05-01,2014-11-30
806,0.02,2011-05-31,2014-05-30
806,0.05,2011-05-31,2014-05-30
807,0.0,2011-05-01,2014-11-30
808,0.0,2011-05-01,2014-11-30
808,0.02,2011-05-31,2014-05-30
808,0.05,2011-05-31,2014-05-30
809,0.0,2011-05-01,2014-11-30
809,0.02,2011-05-31,2014-05-30
810,0.0,2011-05-01,2014-11-30
811,0.0,2011-05-01,2014-11-30
813,0.0,2011-05-01,2014-11-30
814,0.0,2011-05-01,2014-11-30
815,0.0,2011-05-01,2014-11-30
815,0.02,2011-05-31,2014-05-30
816,0.0,2011-05-01,2014-11-30
817,0.0,2011-05-01,2014-11-30
819,0.0,2011-05-01,2014-11-30
820,0.0,2011-05-01,2014-11-30
822,0.0,2011-05-01,2014-11-30
823,0.0,2011-05-01,2014-11-30
824,0.0,2011-05-01,2014-11-30
824,0.02,2011-05-31,2014-05-30
824,0.05,2011-05-31,2014-05-30
825,0.0,2011-05-01,2014-11-30
825,0.02,2011-05-31,2014-05-30
825,0.05,2011-05-31,2014-05-30
826,0.0,2011-05-01,2014-11-30
827,0.0,2011-05-01,2014-11-30
828,0.0,2011-05-01,2014-11-30
830,0.0,2011-05-01,2014-11-30
831,0.0,2011-05-01,2014-11-30
832,0.0,2011-05-01,2014-11-30
832,0.02,2011-05-31,2014-05-30
833,0.0,2011-05-01,2014-11-30
835,0.0,2011-05-01,2014-11-30
835,0.02,2011-05-31,2014-05-30
835,0.05,2011-05-31,2014-05-30
836,0.0,2011-05-01,2014-11-30
838,0.0,2011-05-01,2014-11-30
839,0.0,2011-05-01,2014-11-30
841,0.0,2011-05-01,2014-11-30
841,0.02,2011-05-31,2014-05-30
843,0.0,2011-05-01,2014-11-30
843,0.02,2011-05-31,2014-05-30
844,0.0,2011-05-01,2014-11-30
844,0.02,2011-05-31,2014-05-30
849,0.0,2011-05-01,2014-11-30
849,0.02,2011-05-31,2014-05-30
849,0.05,2011-05-31,2014-05-30
850,0.0,2011-05-01,2014-11-30
852,0.0,2011-05-01,2014-11-30
852,0.02,2011-05-31,2014-05-30
852,0.05,2011-05-31,2014-05-30
852,0.1,2011-05-31,2014-05-30
853,0.0,2011-05-01,2014-11-30
854,0.0,2011-05-01,2014-11-30
854,0.02,2011-05-31,2014-05-30
854,0.05,2011-05-31,2014-05-30
855,0.0,2011-05-01,2014-11-30
855,0.02,2011-05-31,2014-05-30
856,0.0,2011-05-01,2014-11-30
856,0.02,2011-05-31,2014-05-30
856,0.05,2011-05-31,2014-05-30
857,0.0,2011-05-01,2014-11-30
858,0.0,2011-05-01,2014-11-30
858,0.02,2011-05-31,2014-05-30
858,0.05,2011-05-31,2014-05-30
859,0.0,2011-05-01,2014-11-30
859,0.02,2011-05-31,2014-05-30
859,0.05,2011-05-31,2014-05-30
860,0.0,2011-05-01,2014-11-30
860,0.02,2011-05-31,2014-05-30
861,0.0,2011-05-01,2014-11-30
862,0.0,2011-05-01,2014-11-30
862,0.02,2011-05-31,2014-05-30
862,0.05,2011-05-31,2014-05-30
862,0.1,2011-05-31,2014-05-30
863,0.0,2011-05-01,2014-11-30
863,0.02,2011-05-31,2014-05-30
863,0.05,2011-05-31,2014-05-30
863,0.1,2011-05-31,2014-05-30
863,0.15,2011-05-31,2014-05-30
864,0.0,2011-05-01,2014-11-30
864,0.02,2011-05-31,2014-05-30
864,0.05,2011-05-31,2014-05-30
864,0.1,2011-05-31,2014-05-30
865,0.0,2011-05-01,2014-11-30
865,0.02,2011-05-31,2014-05-30
865,0.05,2011-05-31,2014-05-30
866,0.0,2011-05-01,2014-11-30
867,0.0,2011-05-01,2014-11-30
867,0.02,2011-05-31,2014-05-30
867,0.05,2011-05-31,2014-05-30
867,0.1,2011-05-31,2014-05-30
868,0.0,2011-05-01,2014-11-30
869,0.0,2011-05-01,2014-11-30
869,0.02,2011-05-31,2014-05-30
869,0.05,2011-05-31,2014-05-30
869,0.1,2011-05-31,2014-05-30
869,0.15,2011-05-31,2014-05-30
870,0.0,2011-05-01,2014-11-30
870,0.02,2011-05-31,2014-05-30
870,0.05,2011-05-31,2014-05-30
870,0.1,2011-05-31,2014-05-30
871,0.0,2011-05-01,2014-11-30
872,0.0,2011-05-01,2014-11-30
873,0.0,2011-05-01,2014-11-30
873,0.02,2011-05-31,2014-05-30
874,0.0,2011-05-01,2014-11-30
874,0.02,2011-05-31,2014-05-30
875,0.0,2011-05-01,2014-11-30
875,0.02,2011-05-31,2014-05-30
875,0.05,2011-05-31,2014-05-30
875,0.1,2011-05-31,2014-05-30
876,0.0,2011-05-01,2014-11-30
876,0.02,2011-05-31,2014-05-30
876,0.05,2011-05-31,2014-05-30
876,0.1,2011-05-31,2014-05-30
877,0.0,2011-05-01,2014-11-30
877,0.02,2011-05-31,2014-05-30
877,0.05,2011-05-31,2014-05-30
877,0.1,2011-05-31,2014-05-30
878,0.0,2011-05-01,2014-11-30
879,0.0,2011-05-01,2014-11-30
880,0.0,2011-05-01,2014-11-30
880,0.02,2011-05-31,2014-05-30
880,0.05,2011-05-31,2014-05-30
881,0.0,2011-05-01,2014-11-30
881,0.02,2011-05-31,2014-05-30
881,0.05,2011-05-31,2014-05-30
882,0.0,2011-05-01,2014-11-30
883,0.0,2011-05-01,2014-11-30
883,0.02,2011-05-31,2014-05-30
883,0.05,2011-05-31,2014-05-30
884,0.0,2011-05-01,2014-11-30
884,0.02,2011-05-31,2014-05-30
884,0.05,2011-05-31,2014-05-30
884,0.1,2011-05-31,2014-05-30
885,0.0,2011-05-01,2014-11-30
885,0.02,2011-05-31,2014-05-30
886,0.0,2011-05-01,2014-11-30
886,0.05,2011-05-31,2014-05-30
887,0.0,2011-05-01,2014-11-30
888,0.0,2011-05-01,2014-11-30
889,0.0,2011-05-01,2014-11-30
889,0.02,2011-05-31,2014-05-30
890,0.0,2011-05-01,2014-11-30
891,0.0,2011-05-01,2014-11-30
892,0.0,2011-05-01,2014-11-30
892,0.02,2011-05-31,2014-05-30
892,0.05,2011-05-31,2014-05-30
893,0.0,2011-05-01,2014-11-30
893,0.02,2011-05-31,2014-05-30
893,0.05,2011-05-31,2014-05-30
894,0.0,2011-05-01,2014-11-30
895,0.0,2011-05-01,2014-11-30
896,0.0,2011-05-01,2014-11-30
897,0.0,2011-05-01,2014-11-30
898,0.0,2011-05-01,2014-11-30
899,0.0,2011-05-01,2014-11-30
899,0.02,2011-05-31,2014-05-30
900,0.0,2011-05-01,2014-11-30
902,0.0,2011-05-01,2014-11-30
903,0.0,2011-05-01,2014-11-30
904,0.0,2011-05-01,2014-11-30
904,0.02,2011-05-31,2014-05-30
905,0.0,2011-05-01,2014-11-30
906,0.0,2011-05-01,2014-11-30
907,0.0,2011-05-01,2014-11-30
908,0.0,2011-05-01,2014-11-30
908,0.02,2011-05-31,2014-05-30
909,0.0,2011-05-01,2014-11-30
909,0.02,2011-05-31,2014-05-30
910,0.0,2011-05-01,2014-11-30
911,0.0,2011-05-01,2014-11-30
913,0.0,2011-05-01,2014-11-30
914,0.0,2011-05-01,2014-11-30
915,0.0,2011-05-01,2014-11-30
916,0.0,2011-05-01,2014-11-30
917,0.0,2011-05-01,2014-11-30
917,0.02,2011-05-31,2014-05-30
918,0.0,2011-05-01,2014-11-30
919,0.0,2011-05-01,2014-11-30
920,0.0,2011-05-01,2014-11-30
921,0.0,2011-05-01,2014-11-30
922,0.0,2011-05-01,2014-11-30
923,0.0,2011-05-01,2014-11-30
924,0.0,2011-05-01,2014-11-30
925,0.0,2011-05-01,2014-11-30
925,0.02,2011-05-31,2014-05-30
926,0.0,2011-05-01,2014-11-30
927,0.0,2011-05-01,2014-11-30
928,0.0,2011-05-01,2014-11-30
929,0.0,2011-05-01,2014-11-30
930,0.0,2011-05-01,2014-11-30
931,0.0,2011-05-01,2014-11-30
932,0.0,2011-05-01,2014-11-30
933,0.0,2011-05-01,2014-11-30
934,0.0,2011-05-01,2014-11-30
935,0.0,2011-05-01,2014-11-30
936,0.0,2011-05-01,2014-11-30
937,0.0,2011-05-01,2014-11-30
937,0.02,2011-05-31,2014-05-30
938,0.0,2011-05-01,2014-11-30
939,0.0,2011-05-01,2014-11-30
940,0.0,2011-05-01,2014-11-30
941,0.0,2011-05-01,2014-11-30
942,0.0,2011-05-01,2014-11-30
943,0.0,2011-05-01,2014-11-30
944,0.0,2011-05-01,2014-11-30
944,0.02,2011-05-31,2014-05-30
945,0.0,2011-05-01,2014-11-30
945,0.02,2011-05-31,2014-05-30
946,0.0,2011-05-01,2014-11-30
947,0.0,2011-05-01,2014-11-30
948,0.0,2011-05-01,2014-11-30
948,0.02,2011-05-31,2014-05-30
949,0.0,2011-05-01,2014-11-30
950,0.0,2011-05-01,2014-11-30
951,0.0,2011-05-01,2014-11-30
951,0.02,2011-05-31,2014-05-30
952,0.0,2011-05-01,2014-11-30
952,0.02,2011-05-31,2014-05-30
953,0.0,2011-05-01,2014-11-30
953,0.02,2011-05-31,2014-05-30
954,0.0,2011-05-01,2014-11-30
954,0.02,2011-05-31,2014-05-30
954,0.1,2011-05-31,2014-05-30
954,0.2,2013-05-30,2013-08-29
955,0.0,2011-05-01,2014-11-30
955,0.2,2013-05-30,2013-08-29
956,0.0,2011-05-01,2014-11-30
956,0.2,2013-05-30,2013-08-29
957,0.0,2011-05-01,2014-11-30
957,0.02,2011-05-31,2014-05-30
957,0.05,2011-05-31,2014-05-30
957,0.2,2013-05-30,2013-08-29
958,0.0,2011-05-01,2014-11-30
958,0.15,2013-05-30,2013-08-29
959,0.0,2011-05-01,2014-11-30
959,0.15,2013-05-30,2013-08-29
960,0.0,2011-05-01,2014-11-30
960,0.15,2013-05-30,2013-08-29
961,0.0,2011-05-01,2014-11-30
961,0.02,2011-05-31,2014-05-30
961,0.15,2013-05-30,2013-08-29
962,0.0,2011-05-01,2014-11-30
962,0.15,2013-05-30,2013-08-29
963,0.0,2011-05-01,2014-11-30
963,0.15,2013-05-30,2013-08-29
964,0.0,2011-05-01,2014-11-30
964,0.15,2013-05-30,2013-08-29
965,0.0,2011-05-01,2014-11-30
965,0.02,2011-05-31,2014-05-30
965,0.15,2013-05-30,2013-08-29
966,0.0,2011-05-01,2014-11-30
966,0.02,2011-05-31,2014-05-30
966,0.05,2011-05-31,2014-05-30
967,0.0,2011-05-01,2014-11-30
968,0.0,2011-05-01,2014-11-30
969,0.0,2011-05-01,2014-11-30
969,0.02,2011-05-31,2014-05-30
969,0.05,2011-05-31,2014-05-30
970,0.0,2011-05-01,2014-11-30
970,0.02,2011-05-31,2014-05-30
971,0.0,2011-05-01,2014-11-30
972,0.0,2011-05-01,2014-11-30
972,0.02,2011-05-31,2014-05-30
972,0.05,2011-05-31,2014-05-30
973,0.0,2011-05-01,2014-11-30
973,0.02,2011-05-31,2014-05-30
973,0.05,2011-05-31,2014-05-30
974,0.0,2011-05-01,2014-11-30
974,0.02,2011-05-31,2014-05-30
974,0.05,2011-05-31,2014-05-30
975,0.0,2011-05-01,2014-11-30
976,0.0,2011-05-01,2014-11-30
976,0.02,2011-05-31,2014-05-30
976,0.05,2011-05-31,2014-05-30
976,0.1,2011-05-31,2014-05-30
977,0.0,2011-05-01,2014-11-30
978,0.0,2011-05-01,2014-11-30
978,0.15,2013-05-30,2013-08-29
979,0.0,2011-05-01,2014-11-30
979,0.02,2011-05-31,2014-05-30
979,0.05,2011-05-31,2014-05-30
979,0.15,2013-05-30,2013-08-29
980,0.0,2011-05-01,2014-11-30
981,0.0,2011-05-01,2014-11-30
981,0.02,2011-05-31,2014-05-30
982,0.0,2011-05-01,2014-11-30
983,0.0,2011-05-01,2014-11-30
983,0.02,2011-05-31,2014-05-30
984,0.0,2011-05-01,2014-11-30
984,0.4,2014-03-31,2013-05-30
985,0.0,2011-05-01,2014-11-30
985,0.4,2014-03-31,2013-05-30
986,0.0,2011-05-01,2014-11-30
986,0.4,2014-03-31,2013-05-30
987,0.0,2011-05-01,2014-11-30
987,0.4,2014-03-31,2013-05-30
988,0.0,2011-05-01,2014-11-30
988,0.4,2014-03-31,2013-05-30
989,0.0,2011-05-01,2014-11-30
990,0.0,2011-05-01,2014-11-30
991,0.0,2011-05-01,2014-11-30
992,0.0,2011-05-01,2014-11-30
993,0.0,2011-05-01,2014-11-30
994,0.0,2011-05-01,2014-11-30
996,0.0,2011-05-01,2014-11-30
997,0.0,2011-05-01,2014-11-30
998,0.0,2011-05-01,2014-11-30
998,0.02,2011-05-31,2014-05-30
998,0.05,2011-05-31,2014-05-30
999,0.0,2011-05-01,2014-11-30
999,0.02,2011-05-31,2014-05-30
